EC_Common.ell_prime_field.nz_in_carrier_gcd(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_scale'(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_square(1)	cascade/infra_theory	Algebra_Aux.of_integer
EC_Common.ell_prime_field.xyz_to_pnt_zero_z(1)	KEPT
EC_Common.field_class.eq_mult_iff_divide_eq(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.field_class.mult_eq_iff_eq_divide(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.field_class.on_curvep_nz_identity(1)	cascade/class_variant	Elliptic_Locale.cring.on_curvep
EC_Common.residues_prime_gt2.add_pnts_eqn_x(1)	cascade/infra_theory	Algebra_Aux.of_integer
EC_Common.residues_prime_gt2.bezout_coeff_1(1)	KEPT
EC_Common.residues_prime_gt2.mmake_proj_def(1)	KEPT
EC_Common.residues_prime_gt2.point_madd_def(1)	KEPT
EC_Common.residues_prime_gt2.to_proj_to_aff(1)	KEPT
EC_Common.ell_prime_field.Point_in_carrierD1(1)	KEPT
EC_Common.ell_prime_field.Point_in_carrierD2(1)	KEPT
EC_Common.ell_prime_field.xy_to_pnt_Infinity(1)	KEPT
EC_Common.residues_prime_gt2.point_madd.cong(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.cong(1)	KEPT
EC_Common.ell_prime_field.curve_square_is_mult(1)	KEPT
EC_Common.ell_prime_field.y_coord_eq_or_eq_neg(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.cases(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.elims(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.simps(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.simps(2)	KEPT
EC_Common.ell_prime_field.yz_coord_eq_or_eq_neg(1)	KEPT
EC_Common.residues_prime_gt2.get_coords_correct(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.induct(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.pelims(1)	cascade/concealed	EC_Common.residues_prime_gt2.point_mmult_rel
EC_Common.residues_prime_gt2.point_mmult.psimps(1)	concealed
EC_Common.residues_prime_gt2.point_mmult.psimps(2)	concealed
EC_Common.ell_prime_field.Point_Point_eq_one_iff(1)	KEPT
EC_Common.ell_prime_field.xyz_coord_eq_or_eq_neg(1)	KEPT
EC_Common.euclidean_semiring_cancel.mod_pow_cong(1)	cascade/class_infix	Euclidean_Rings.class.euclidean_semiring_cancel
EC_Common.group.pow_dbl_eq_pow_of_prime_ord_gt_2(1)	KEPT
EC_Common.residues_prime_gt2.point_mmult.pinduct(1)	concealed
EC_Common.field.divide_eq_divide_iff_mult_eq_mult(1)	cascade/infra_theory	Algebra_Aux.m_div
