TOTAL	consts	13905
TOTAL	const_rej	7232
TOTAL	thms	150439
TOTAL	thm_rej	58260
CONST	inst_infix	HOL-Library.Extended_Real	30
CONST	inst_infix	HOL-Library.Product_Order	8
CONST	inst_infix	HOL-Library.Quotient_Type	1
CONST	inst_infix	Jordan_Normal_Form.Matrix	16
CONST	inst_infix	Linear_Recurrences.RatFPS	28
CONST	sumC_graph	Derangements.Derangements	1
CONST	sumC_graph	DigitsInBase.DigitsInBase	1
CONST	sumC_graph	HOL-Library.Extended_Real	8
CONST	sumC_graph	HOL-Library.Nat_Bijection	3
CONST	sumC_graph	HOL-Library.Tree_Multiset	2
CONST	sumC_graph	Jordan_Normal_Form.Matrix	5
CONST	sumC_graph	Landau_Symbols.Group_Sort	2
CONST	sumC_graph	Linear_Recurrences.RatFPS	1
CONST	sumC_graph	Sturm_Tarski.Sturm_Tarski	2
CONST	valtermify_term	HOL-Library.Interval	1
CONST	class_infix	HOL-Analysis.Infinite_Sum	1
CONST	class_pred	HOL-Analysis.Inner_Product	1
CONST	class_pred	HOL-Library.Time_Functions	1
CONST	class_pred	HOL.Complete_Partial_Order	1
CONST	class_pred	HOL.Semiring_Normalization	1
CONST	concealed	Algebraic_Numbers.Resultant	6
CONST	concealed	Budan_Fourier.Budan_Fourier	2
CONST	concealed	HOL-Library.Pattern_Aliases	2
CONST	infra_theory	HOL-Real_Asymp.Lazy_Eval	11
CONST	infra_theory	HOL.Quickcheck_Narrowing	72
CONST	inst_infix	HOL-Analysis.Inner_Product	2
CONST	inst_infix	HOL-Analysis.Measure_Space	8
CONST	inst_infix	HOL-Analysis.Sigma_Algebra	1
CONST	inst_infix	HOL-Library.Multiset_Order	3
CONST	inst_infix	HOL-Library.Time_Functions	1
CONST	sumC_graph	HOL-Combinatorics.Stirling	2
CONST	sumC_graph	HOL-Library.Interval_Float	2
CONST	sumC_graph	HOL-Library.Time_Functions	13
CONST	class_infix	HOL-Analysis.Inner_Product	1
CONST	class_infix	HOL.Complete_Partial_Order	1
CONST	class_infix	HOL.Semiring_Normalization	1
CONST	class_pred	HOL-Analysis.Gamma_Function	1
CONST	class_pred	HOL-Analysis.Product_Vector	2
CONST	class_pred	HOL-Library.Signed_Division	3
CONST	class_variant	HOL-Analysis.Borel_Space	1
CONST	class_variant	HOL-Library.Infinite_Set	1
CONST	class_variant	HOL-Library.Poly_Mapping	1
CONST	concealed	Coinductive.Coinductive_List	24
CONST	concealed	Gauss_Jordan.Gauss_Jordan_PA	2
CONST	concealed	HOL-Library.While_Combinator	6
